Date,Open,High,Low,Close,Adj Close,Volume
6/21/2013,198.5,198.520004,193.539993,195.460007,165.077805,8914800
6/24/2013,193.990005,194.910004,191.339996,193.539993,163.456284,4356200
6/25/2013,195.309998,195.589996,193.149994,194.979996,164.672455,3846200
6/26/2013,195.970001,196.229996,194.5,194.860001,164.571106,3320200
6/27/2013,196.050003,196.899994,195.289993,195.649994,165.238266,3514200
6/28/2013,191.729996,192.660004,188.410004,191.110001,161.403992,10055800
7/1/2013,192.149994,193.800003,191.119995,191.279999,161.547531,4442400
7/2/2013,190.779999,193.229996,190.259995,191.5,161.733353,3657700
7/3/2013,190.979996,194.220001,190.509995,193.25,163.211334,1872600
7/5/2013,194.490005,195.160004,192.350006,194.929993,164.630203,2405400
7/8/2013,195.600006,195.779999,194.610001,194.979996,164.672455,2947500
7/9/2013,191.880005,192.800003,190.779999,191.300003,161.564453,5204200
7/10/2013,191.509995,193.429993,191.270004,192.25,162.366806,3892000
7/11/2013,193.779999,194.110001,192.610001,192.800003,162.831299,4177500
7/12/2013,193.070007,193.699997,191.589996,192.070007,162.214737,4494700
7/15/2013,192.419998,194.889999,191.679993,194,163.844818,5674700
7/16/2013,194.039993,194.580002,192.679993,193.850006,163.718109,3745300
7/17/2013,194.720001,194.889999,193.029999,194.550003,164.309296,6868400
7/18/2013,198.270004,200.940002,195.990005,197.990005,167.214584,8393400
7/19/2013,197.910004,197.990005,193.240005,193.539993,163.456284,6997600
7/22/2013,193.399994,195.789993,193.279999,194.089996,163.920792,3398000
7/23/2013,194.210007,196.429993,194.100006,194.979996,164.672455,2863800
7/24/2013,195.949997,197.300003,195.860001,196.610001,166.049072,2957900
7/25/2013,196.300003,197.830002,195.660004,197.220001,166.564255,3014300
7/26/2013,196.589996,197.369995,195,197.350006,166.674026,2485100
7/29/2013,196.830002,197.190002,195.529999,196.210007,165.711212,2113700
7/30/2013,196.990005,197.830002,195.809998,196.009995,165.542313,2663200
7/31/2013,194.490005,196.910004,194.490005,195.039993,164.723099,3810000
8/1/2013,196.649994,197.169998,195.410004,195.809998,165.373413,2877700
8/2/2013,195.5,195.5,193.220001,195.160004,164.824448,3874000
8/5/2013,195.160004,195.880005,194.350006,195.5,165.111603,2490900
8/6/2013,192.259995,192.509995,190.270004,190.990005,161.302643,5938500
8/7/2013,189.600006,189.929993,188.050003,188.559998,160.046448,3901700
8/8/2013,189.449997,189.869995,186.789993,187.929993,159.511703,4547600
8/9/2013,188,189.160004,187,187.820007,159.41835,3249600
8/12/2013,186.970001,189.559998,186.889999,189.089996,160.496277,3026500
8/13/2013,189.539993,189.990005,187.559998,188.419998,159.927597,3542900
8/14/2013,188.580002,188.929993,187.300003,187.529999,159.172195,2892300
8/15/2013,186.229996,187,185.449997,185.789993,157.695313,3692400
8/16/2013,185.539993,186.460007,185.339996,185.339996,157.313354,3426400
8/19/2013,185.300003,186.5,183.979996,184.229996,156.371201,3248900
8/20/2013,184.369995,185.630005,183.169998,184.559998,156.651291,3117800
8/21/2013,184.669998,186.570007,184.279999,184.860001,156.90596,3551000
8/22/2013,185.649994,186.25,184.25,185.190002,157.186035,2354300
8/23/2013,185.339996,185.740005,184.570007,185.419998,157.381271,2292700
8/26/2013,185.270004,187,184.679993,184.740005,156.804108,2170400
8/27/2013,183.630005,184.5,182.570007,182.740005,155.106522,3190700
8/28/2013,182.679993,183.470001,181.100006,182.160004,154.614212,3979200
8/29/2013,181.960007,183.699997,181.440002,182.639999,155.021667,2980900
8/30/2013,182.75,182.990005,181.509995,182.270004,154.707596,2731000
9/3/2013,183.630005,184.320007,182.509995,183.960007,156.142029,3487200
9/4/2013,183.580002,184.190002,182.309998,183.130005,155.437531,2597900
9/5/2013,183.350006,185,183.070007,184.149994,156.303329,2867600
9/6/2013,184.649994,184.990005,182.649994,183.029999,155.352661,2903500
9/9/2013,183.679993,185.490005,183.309998,184.979996,157.007782,3017200
9/10/2013,187.199997,187.649994,186.369995,186.600006,158.382813,3149600
9/11/2013,186.830002,190.869995,186.820007,190.699997,161.862823,4962900
9/12/2013,190.960007,191.320007,189.850006,190.729996,161.88829,3354800
9/13/2013,191.210007,193.100006,191,192.169998,163.110535,3710400
